Player,Team,Position,Type,Fantasy_Pts,VORP,Draft_Value,Risk_Adj_Value,Confidence,Proj_HR,Proj_SB,Proj_W,Proj_SV,Rank
Shohei Ohtani,LAD,OF,Hitter,649,297,96,91,0.95,44.0,26.0,,,1
Francisco Lindor,NYM,SS,Hitter,507,296,96,91,0.95,27.0,25.0,,,2
Elly De La Cruz,CIN,SS,Hitter,493,282,91,87,0.95,19.0,37.0,,,3
William Contreras,MIL,C,Hitter,414,244,79,75,0.95,16.0,6.0,,,4
Juan Soto,NYM,OF,Hitter,581,229,74,67,0.9,34.0,22.0,,,5
Kyle Schwarber,PHI,OF,Hitter,579,227,74,66,0.9,40.0,8.0,,,6
Trea Turner,PHI,SS,Hitter,435,224,73,66,0.9,16.0,25.0,,,7
Willson Contreras,STL,C,Hitter,369,199,65,58,0.9,18.0,5.0,,,8
Dansby Swanson,CHC,SS,Hitter,393,182,59,54,0.9,18.0,16.0,,,9
Corbin Carroll,ARI,OF,Hitter,506,154,50,45,0.9,23.0,26.0,,,10
Geraldo Perdomo,ARI,OF,Hitter,497,145,47,43,0.9,13.0,19.0,,,11
Will Smith,LAD,C,Hitter,313,143,47,42,0.9,14.0,2.0,,,12
Brice Turang,MIL,2B,Hitter,441,142,47,42,0.9,13.0,27.0,,,13
J.T. Realmuto,PHI,C,Hitter,296,126,41,37,0.9,12.0,6.0,,,14
Oneil Cruz,PIT,SS,Hitter,332,121,40,36,0.9,16.0,25.0,,,15
Pete Alonso,NYM,1B,Hitter,509,110,36,31,0.85,30.0,2.0,,,16
Ketel Marte,ARI,2B,Hitter,406,107,35,30,0.85,24.0,5.0,,,17
Emilio Pagan,CIN,RP,Pitcher,238,107,35,28,0.8,,,0.0,24.0,18
Kyle Tucker,CHC,OF,Hitter,454,102,34,29,0.85,23.0,19.0,,,19
Sonny Gray,STL,SP,Pitcher,302,100,33,28,0.85,,,14.0,0.0,20
Christian Yelich,MIL,OF,Hitter,451,99,33,28,0.85,22.0,20.0,,,21
Matt Olson,ATL,1B,Hitter,497,98,32,28,0.85,24.0,2.0,,,22
Edwin Diaz,NYM,RP,Pitcher,227,96,32,26,0.8,,,0.0,21.0,23
Seiya Suzuki,CHC,OF,Hitter,444,92,30,26,0.85,24.0,8.0,,,24
Freddy Peralta,MIL,SP,Pitcher,292,90,30,26,0.85,,,15.0,0.0,25
Raisel Iglesias,ATL,RP,Pitcher,219,88,29,24,0.8,,,0.0,22.0,26
Nico Hoerner,CHC,2B,Hitter,385,86,29,24,0.85,7.0,24.0,,,27
Pete Crow-Armstrong,CHC,OF,Hitter,438,86,29,24,0.85,21.0,30.0,,,28
Paul Skenes,PIT,SP,Pitcher,285,83,28,22,0.8,,,12.0,0.0,29
Masyn Winn,STL,SS,Hitter,292,81,27,23,0.85,9.0,8.0,,,30
Trevor Megill,MIL,RP,Pitcher,208,77,26,21,0.8,,,0.0,22.0,31
Cristopher Sanchez,PHI,SP,Pitcher,277,75,25,20,0.8,,,13.0,0.0,32
